epoch,frame,norm_fu,loss,walltime,memory,error_u
0,0,13.45936107635498,181.15440368652344,2.555450201034546,535.15234375,0.4210052
1,1,0.8793278336524963,0.7732174396514893,7.621387958526611,586.20703125,0.0053566284
2,1,1.0311594009399414,1.0632896423339844,10.691003561019897,608.8828125,0.09922238
3,1,1.6860417127609253,2.8427367210388184,12.993627309799194,655.4921875,0.13503207
4,1,1.5477957725524902,2.3956716060638428,15.133625507354736,608.8828125,0.14667371
5,1,0.9566266536712646,0.915134608745575,17.168834686279297,651.4921875,0.1485313
6,2,0.5150637030601501,0.26529058814048767,19.156017541885376,661.93359375,0.14754623
7,2,0.2586073577404022,0.06687776744365692,21.206300020217896,615.8046875,0.14642565
8,2,0.11638392508029938,0.013545218855142593,23.115124702453613,657.46484375,0.14585502
9,2,0.045574817806482315,0.002077064011245966,24.9966824054718,617.3046875,0.14574684
10,2,0.017798228189349174,0.00031677691731601954,27.01745343208313,659.47265625,0.1458112
20,4,4.501270086620934e-05,2.0261432531754053e-09,46.47146201133728,660.3984375,0.14584938
30,6,4.455761154531501e-05,1.985380748692478e-09,65.91441869735718,666.4921875,0.14584939
40,8,4.449844345799647e-05,1.980111408173002e-09,85.43964219093323,677.4921875,0.14584939
50,10,4.387407170725055e-05,1.9249342120275514e-09,104.9062249660492,635.671875,0.14584939
