epoch,frame,norm_uc,norm_un,norm_ufx,norm_ufy,loss,walltime,memory
0,0,0.5385527610778809,0.5543389320373535,0.5436661839485168,0.5493248701095581,1.1946613788604736,3.628523826599121,493.46875
10,1,0.37918606400489807,0.4001421630382538,0.38608336448669434,0.3936731517314911,0.6079347133636475,5.424388408660889,567.92578125
20,1,0.2325356900691986,0.2588975727558136,0.24098439514636993,0.2513931393623352,0.2423727810382843,5.461084365844727,567.92578125
30,1,0.1287868469953537,0.15771150588989258,0.13813869655132294,0.15007169544696808,0.0830627828836441,5.495050430297852,567.92578125
40,1,0.06614639610052109,0.09221964329481125,0.07442742586135864,0.08578452467918396,0.025778234004974365,5.531328916549683,567.92578125
50,1,0.034254491329193115,0.0525616854429245,0.03799011930823326,0.0477990098297596,0.007664095610380173,5.569957494735718,567.92578125
60,1,0.01957051269710064,0.02929794229567051,0.020516837015748024,0.026186658069491386,0.002348056063055992,5.611165285110474,567.92578125
70,1,0.013184972107410431,0.01646255888044834,0.01333641167730093,0.014809349551796913,0.0008420360391028225,5.649601697921753,567.92578125
80,1,0.008949870243668556,0.00978162419050932,0.009176047518849373,0.009031431749463081,0.00034154695458710194,5.68494176864624,567.92578125
90,1,0.0056144860573112965,0.005788223817944527,0.005701076705008745,0.0053533087484538555,0.00012618617620319128,5.720246315002441,567.92578125
100,1,0.002965271472930908,0.0035612541250884533,0.0031611155718564987,0.0032508319709450006,4.203592106932774e-05,5.7563464641571045,567.92578125
