epoch,frame,norm_0,loss,walltime,memory,c_diff,c_src,c_vel
0,0,1.9361437091163396,3.748652462350777,4.59730339050293,499.109375,0.0,0.0,0.001
10,1,0.7237421348310625,0.5238026777298239,6.259412527084351,538.85546875,0.18847641881300975,0.010401907295946927,0.003986294295223188
20,1,0.4974617299682355,0.24746817278298966,6.322265863418579,539.73046875,0.2007515856317027,0.015716192256829305,0.004116382552140241
30,1,0.394022922449441,0.15525406341559816,6.393953084945679,540.60546875,0.1837412852563917,0.034549217850700746,0.0036334016703370707
40,1,0.33770953391075487,0.11404772929421927,6.473968744277954,541.60546875,0.13860065443184935,0.07794333688453957,0.002549807869257098
50,1,0.25940883966016215,0.06729294609383173,6.55730676651001,542.35546875,0.07490925748311615,0.13312888198501682,0.0011296887065213293
60,2,0.19354603920099261,0.037460069290392174,6.648121356964111,549.98046875,0.043936537723425845,0.09666946393386537,0.010988510872885715
70,2,0.15574733839482838,0.02425723341707318,6.734349489212036,549.98046875,0.028286143082563647,0.08182446932758072,0.05578211490406085
80,2,0.12060921370789769,0.014546582431237336,6.81940221786499,549.98046875,0.022376853685918695,0.10770004060811647,0.11454709441191703
90,2,0.09001497062541292,0.00810269493669395,6.905359983444214,549.98046875,0.0178841155780708,0.09304726214938236,0.15970359490628314
100,2,0.057636864112775986,0.0033220081047546047,6.9898834228515625,549.98046875,0.01293125587305922,0.10354454577185765,0.19582102491602532
110,3,0.0399627193646099,0.001597018939014567,7.074782371520996,553.48046875,0.01077727097845015,0.09823175581874576,0.2005905921390552
120,3,0.026655471047227763,0.0007105141367495975,7.15997576713562,553.48046875,0.008969291425772562,0.10072793121746351,0.20397594068265482
130,3,0.01961922360523112,0.00038491393487205793,7.249751567840576,553.48046875,0.00813912245277859,0.10020335718654033,0.20366600276861832
140,3,0.013284260018608707,0.0001764715642420058,7.333848237991333,553.48046875,0.0075813434863320345,0.09986841617539884,0.2053345541295283
150,3,0.007397539355556484,5.4723588517007043e-05,7.417750597000122,553.60546875,0.007178529204905234,0.10007007006402131,0.2050820464351931
